,index,IFFO1,PENK,PI3,ZIC1,SLC4A4,group
0,0,0.44552892216867296,0.107184095061806,0.642689531939344,0.1468530869293,0.5808037054042801,2
1,1,0.526100586440104,0.0948718486338219,0.671374935227641,0.164887334625018,0.671948876476787,1
2,2,0.28507790932123,0.0803897017195161,0.6238691314583039,0.141383356191292,0.514503203941731,1
3,3,0.313439001323272,0.16790604069229506,0.594163468749055,0.188595868620575,0.5545811574437121,1
4,4,0.0222758534695107,0.277522704030902,0.560885152646717,0.35364967939974395,0.188383262897256,1
5,5,0.550312822904399,0.0824403486235543,0.688896936579908,0.122990213529828,0.738717543696273,2
6,6,0.482400588961935,0.0853832480942658,0.5840229578208499,0.207229979703934,0.552608634034726,1
7,7,0.5304734597473649,0.0552641670319646,0.655756959101253,0.144207994952231,0.905232269421696,1
8,8,0.00899951891594753,0.6886554713618311,0.0683342685026275,0.554043485369322,0.112044091794818,1
9,9,0.442318228074281,0.146998981262897,0.6271504268892989,0.22515805791698296,0.627006548024708,2
10,10,0.00752268908918425,0.0879444082604373,0.7522711283457729,0.227514712773712,0.120346869100253,1
11,11,0.289945652481378,0.0880933522075065,0.6364539337094061,0.186970478592009,0.53595214052823,2
12,12,0.334116861598367,0.0778714981778791,0.5997483255301229,0.178042561654043,0.5482889113877479,2
13,13,0.00997928318048624,0.325895536855038,0.221272563458574,0.18220522465909306,0.160263908652145,1
14,14,0.37031570237412603,0.0585516218585953,0.634789885177938,0.17872160545966506,0.555435693537165,2
15,15,0.00828454519919207,0.6232848071418929,0.214368961904154,0.36805948065496297,0.50461733528645,1
16,16,0.27109899205255805,0.0825232532102503,0.713329152439592,0.133027846268813,0.560978761854963,1
17,17,0.31014936249117697,0.107973761731949,0.6387095159641479,0.173452396842968,0.583882773786679,1
18,18,0.0157948635146316,0.7030885227857679,0.14874592676442902,0.453899693270637,0.26194090735096204,1
19,19,0.319178779921713,0.0529332299310773,0.642818366441931,0.111635467770182,0.6018304678565489,1
20,20,0.00821495708694868,0.38540747254450297,0.229035514280358,0.3899346815529671,0.274203020852616,1
21,21,0.432298273546445,0.0664115232916876,0.626921481146901,0.12760755793298598,0.616171087173344,2
22,22,0.011254380880296002,0.677713476855978,0.219428659238838,0.464892601415051,0.42774822367750304,2
23,23,0.45149838874141,0.0815807097307643,0.636306537981145,0.166937380511118,0.6350718597559001,2
24,24,0.00872916033857212,0.591186732707278,0.229469676183957,0.373540778691664,0.182327223084183,1
25,25,0.196782032129242,0.12362773216361,0.6209556273247729,0.188960293056355,0.601691332933432,2
26,26,0.0905673165175615,0.718017360758365,0.146421859005608,0.422252589608382,0.206971842782628,1
27,27,0.0129762920248635,0.0735019072200671,0.845880343782613,0.0189437979792509,0.9330566279280452,1
28,28,0.604557850023684,0.0826277221848781,0.7041384305421039,0.194841408629731,0.872251266926337,1
29,29,0.0702411628749859,0.0747691362642947,0.393737767644543,0.396913967337411,0.8678448168105402,1
30,30,0.296999201257607,0.0796014015175066,0.6812068868562029,0.179024081951704,0.582519805599735,2
31,31,0.586553293054062,0.114605263854794,0.7416748118563391,0.181203489600882,0.76905044059277,1
32,32,0.287717274542453,0.12823122336922,0.6367998881700889,0.193832070042746,0.5796936067393579,2
33,33,0.0268219907128319,0.2918131901225611,0.19763076646321606,0.22982659551946,0.411434211628991,1
34,34,0.39562035945727797,0.113256333072531,0.638841038275484,0.166799524812819,0.605366013644688,2
35,35,0.00695399939428543,0.196824504138101,0.328593600045656,0.17510268222432598,0.438490207502983,1
36,36,0.34358263372543,0.17739424573649898,0.617467279070667,0.140800428023837,0.5714155233466961,1
