,index,IFFO1,CD9,PI3,CP,DENND2D_1
0,0,0.5510234157757671,0.2855253457345721,0.62742643472951,0.908108776352224,0.639367865282119
1,1,0.52467552373074,0.237946938623793,0.5728364011545279,0.898849667070771,0.511315824977947
2,2,0.49077543435039794,0.275951971812931,0.59564449222978,0.90362371815024,0.596445381377612
3,3,0.5443381505765721,0.34801657750966897,0.558250093325833,0.90819682777152,0.496465587320887
4,4,0.991299014253368,0.0478302318490412,0.5927222664336701,0.466700973740822,0.50408244271436
5,5,0.56938908724413,0.290759376847033,0.555174698968327,0.917241076494695,0.557957805339823
6,6,0.00835585234170612,0.7316156247739741,0.21085022890154606,0.332897647425761,0.0988775636441851
7,7,0.00786330671661023,0.6301531317827671,0.17101779038451806,0.363402474820104,0.139239430054836
8,8,0.00717083053939729,0.700250599239435,0.371016275775942,0.451914856148856,0.197721105225052
9,9,0.0071741227527959296,0.687160525771213,0.208528361153481,0.456875626955499,0.11448040694809
10,10,0.0105960003206807,0.722696720551504,0.0918785423425779,0.93100201085351,0.124943938519355
11,11,0.00835836502812658,0.258233079162118,0.196643160156371,0.811409173532514,0.0816981717305162
12,12,0.007225193767559691,0.6890645212468511,0.14452781817838,0.31815325809836403,0.163065390125237
13,13,0.00796949623782726,0.7189483292437209,0.149563655727004,0.35377813367619604,0.258655948710189
14,14,0.013102879935073001,0.576884983295173,0.3326283796433189,0.6471336083881961,0.386067165086636
15,15,0.0846034847926455,0.6770646229499949,0.19953702617932895,0.835959285959865,0.22736294732261805
16,16,0.0616057032657444,0.5606843683381321,0.515961906348023,0.40077164461915904,0.326831891271495
17,17,0.12678327905682002,0.7363370538761109,0.530877023113849,0.34966946090762,0.181350686613934
18,18,0.011254380880296002,0.580930861844883,0.219428659238838,0.8575453998409459,0.11115317722572196
19,19,0.0222758534695107,0.731993826242975,0.560885152646717,0.226012364508946,0.18133524381864705
20,20,0.0080495791168244,0.5130963182867639,0.188551343368637,0.449643547943919,0.219434297740465
21,21,0.114496839844773,0.752529379586104,0.426090639006864,0.22014663869215306,0.15840974749610598
22,22,0.0076632219994921405,0.691816043666157,0.174473197009391,0.460471761420385,0.28234623523129304
23,23,0.007176166579409371,0.305288168212833,0.4546677448056711,0.841108365450618,0.21715176128507305
24,24,0.00767897106640648,0.7706725069506078,0.157630799990773,0.235956480074812,0.17700878383342394
25,25,0.007413135368246129,0.7478623045142729,0.18912676812888896,0.7173351795260792,0.36252167766951504
26,26,0.00829109361820382,0.48808520706676,0.394912683842253,0.706361949146572,0.257245372685904
27,27,0.00663051878476575,0.747034024567648,0.169354452297175,0.406757671204331,0.15029702189265198
28,28,0.008377947617951059,0.7304254096238192,0.245918075936209,0.395047742932886,0.192586818478763
29,29,0.00855980040697497,0.53873902297036,0.111994241007664,0.7985339568456541,0.468775346135021
30,30,0.00858401663855537,0.356132127042278,0.512548117175063,0.654568723769942,0.12005755699578
31,31,0.0164702897953649,0.644359375356443,0.33575455399282594,0.424126812204657,0.124377776424784
32,32,0.0905673165175615,0.717339834130939,0.146421859005608,0.301729465331063,0.168403609488937
33,33,0.007535464562004659,0.708894880009132,0.286198601299745,0.874668446130641,0.111523440410337
34,34,0.0389093390025359,0.7935575552815209,0.119648253762687,0.35330449841992795,0.0665379324083405
35,35,0.009665147146553591,0.6307578250515279,0.17272598933355598,0.388512727853634,0.292034140116082
36,36,0.00721098954762053,0.7108545534292992,0.160889431933427,0.38978635504115,0.155178879383462
